<<<<<<< Updated upstream
0 68 -2.7619901947787664
68 0 2.7619901947787664
0 39 -7.446802412313678
39 0 7.446802412313678
0 31 -1.8004905819170325
31 0 1.8004905819170325
39 81 2.040417111271646
81 39 -2.040417111271646
0 60 -7.3281230909031105
60 0 7.3281230909031105
81 27 2.0581054926789033
27 81 -2.0581054926789033
81 99 -1.5752119544826961
99 81 1.5752119544826961
39 35 1.5412555691002832
35 39 -1.5412555691002832
35 80 1.947886589979833
80 35 -1.947886589979833
39 9 4.536174035117227
9 39 -4.536174035117227
35 88 1.0001321279907156
88 35 -1.0001321279907156
60 62 9.426150625239229
62 60 -9.426150625239229
99 1 -1.5448606695701668
1 99 1.5448606695701668
99 15 6.689717602725061
15 99 -6.689717602725061
35 49 3.8031190394703893
49 35 -3.8031190394703893
62 78 -2.420715215892425
78 62 2.420715215892425
9 11 -2.961603996402215
11 9 2.961603996402215
99 65 2.711608441683502
65 99 -2.711608441683502
35 5 6.931894490127007
5 35 -6.931894490127007
68 22 -3.087206542945185
22 68 3.087206542945185
11 61 1.7218194148697037
61 11 -1.7218194148697037
88 98 5.9179509180801135
98 88 -5.9179509180801135
78 92 0.6591096068635214
92 78 -0.6591096068635214
80 42 3.200428739775945
42 80 -3.200428739775945
99 90 6.150302178475325
90 99 -6.150302178475325
39 83 4.388954283156004
83 39 -4.388954283156004
60 20 6.404480766743163
20 60 -6.404480766743163
0 37 -0.1874211841142286
37 0 0.1874211841142286
98 50 -5.609398019606877
50 98 5.609398019606877
90 66 -0.8089644410616914
66 90 0.8089644410616914
50 52 7.080528349720571
52 50 -7.080528349720571
39 73 8.679603093468563
73 39 -8.679603093468563
83 58 4.4106721618014335
58 83 -4.4106721618014335
35 95 7.121616606656973
95 35 -7.121616606656973
0 43 -7.1929382540775295
43 0 7.1929382540775295
11 79 7.305572312658138
79 11 -7.305572312658138
42 36 1.870646890508043
36 42 -1.870646890508043
15 82 -3.573448564712371
82 15 3.573448564712371
80 75 6.506566293101798
75 80 -6.506566293101798
82 96 1.903843310692375
96 82 -1.903843310692375
37 40 -4.042337481915928
40 37 4.042337481915928
81 45 -0.4038021241369931
45 81 0.4038021241369931
20 4 3.637980993851812
4 20 -3.637980993851812
75 51 -2.429165506870474
51 75 2.429165506870474
82 97 4.577858444054062
97 82 -4.577858444054062
92 21 -0.8906951739298996
21 92 0.8906951739298996
43 57 1.1208014778830195
57 43 -1.1208014778830195
95 77 -5.617976630681167
77 95 5.617976630681167
61 56 -3.2541354033247547
56 61 3.2541354033247547
45 44 4.220748166214116
44 45 -4.220748166214116
11 8 2.553142443714075
8 11 -2.553142443714075
40 87 -0.8519389859685609
87 40 0.8519389859685609
87 16 -0.697940445746752
16 87 0.697940445746752
50 24 8.10806997662104
24 50 -8.10806997662104
60 30 0.3235245666236506
30 60 -0.3235245666236506
65 74 -6.198727288827267
74 65 6.198727288827267
87 2 -1.140797517963691
2 87 1.140797517963691
8 23 4.1646465659805525
23 8 -4.1646465659805525
11 14 1.0023929222276626
14 11 -1.0023929222276626
81 54 3.1433412518430446
54 81 -3.1433412518430446
37 18 -0.4307544229817286
18 37 0.4307544229817286
66 19 -1.7361924200431638
19 66 1.7361924200431638
18 12 -4.489629820955795
12 18 4.489629820955795
92 64 1.454437857575195
64 92 -1.454437857575195
51 10 -1.3921574393510319
10 51 1.3921574393510319
95 70 -5.978723062680777
70 95 5.978723062680777
98 47 1.1709618597073037
47 98 -1.1709618597073037
14 72 5.3287949319779955
72 14 -5.3287949319779955
30 69 2.804559418810924
69 30 -2.804559418810924
75 6 -2.3950049782749474
6 75 2.3950049782749474
62 86 -5.805278046547837
86 62 5.805278046547837
57 91 5.3003676793193515
91 57 -5.3003676793193515
70 85 5.459609428350074
85 70 -5.459609428350074
11 41 -0.5697875125367762
41 11 0.5697875125367762
96 34 -4.118221348594583
34 96 4.118221348594583
80 55 2.172002025665587
55 80 -2.172002025665587
34 46 -2.340384765410656
46 34 2.340384765410656
56 53 8.575738982596219
53 56 -8.575738982596219
97 84 -9.512241154759282
84 97 9.512241154759282
55 29 3.8134904808469368
29 55 -3.8134904808469368
23 71 -4.835373492207403
71 23 4.835373492207403
5 93 -3.322599469399406
93 5 3.322599469399406
8 33 4.499534075003844
33 8 -4.499534075003844
84 13 9.118092136761552
13 84 -9.118092136761552
50 59 3.3322368148091566
59 50 -3.3322368148091566
60 3 4.712633968647911
3 60 -4.712633968647911
10 94 -2.9682573571482713
94 10 2.9682573571482713
58 32 -4.717524428885289
32 58 4.717524428885289
16 17 -0.7880919817441074
17 16 0.7880919817441074
79 89 -0.6104813639548863
89 79 0.6104813639548863
54 67 -0.686643350846599
67 54 0.686643350846599
78 26 -5.272127850736603
26 78 5.272127850736603
62 25 -4.026847696775336
25 62 4.026847696775336
10 38 -4.467934546474277
38 10 4.467934546474277
23 48 -5.28110199179811
48 23 5.28110199179811
25 28 0.14018896908240297
28 25 -0.14018896908240297
27 63 -2.5563937593013386
63 27 2.5563937593013386
55 7 -4.320667883158761
7 55 4.320667883158761
37 76 -5.23639567838613
76 37 5.23639567838613
25 22 -4.0335352594308596
22 25 4.0335352594308596
51 9 -0.9849773685855283
9 51 0.9849773685855283
78 47 -0.49665875072190113
47 78 0.49665875072190113
72 29 -2.0269297683787473
29 72 2.0269297683787473
4 32 -2.6183111518722724
32 4 2.6183111518722724
26 50 -0.18028896793388172
50 26 0.18028896793388172
14 87 -0.26098624372976964
87 14 0.26098624372976964
2 43 -2.657036418582199
43 2 2.657036418582199
12 66 4.421494500744474
66 12 -4.421494500744474
61 3 0.8898998181993152
3 61 -0.8898998181993152
85 25 0.14446151470801682
25 85 -0.14446151470801682
39 60 -0.9177266725614914
60 39 0.9177266725614914
45 3 0.16732019795067532
3 45 -0.16732019795067532
88 12 2.4606081582046566
12 88 -2.4606081582046566
12 95 4.883897771982924
95 12 -4.883897771982924
65 0 1.7227173163159526
0 65 -1.7227173163159526
79 44 -1.4018562622081359
44 79 1.4018562622081359
59 96 1.3299477302164557
96 59 -1.3299477302164557
48 12 0.1791277844365955
12 48 -0.1791277844365955
46 19 6.995995593145692
19 46 -6.995995593145692
48 27 3.051164187510884
27 48 -3.051164187510884
5 60 -8.563442920133335
60 5 8.563442920133335
64 37 -1.600984636735984
37 64 1.600984636735984
65 30 -4.9534163047065585
30 65 4.9534163047065585
8 60 -3.8071899207898854
60 8 3.8071899207898854
41 78 6.115736028192337
78 41 -6.115736028192337
36 68 -2.9784094644046624
68 36 2.9784094644046624
3 95 2.173699997771517
95 3 -2.173699997771517
57 29 6.0233894939164285
29 57 -6.0233894939164285
73 37 -1.5977357412507796
37 73 1.5977357412507796
57 95 6.78382709095033
95 57 -6.78382709095033
94 55 0.9839276607871683
55 94 -0.9839276607871683
52 44 -1.6181302195814957
44 52 1.6181302195814957
26 79 6.258883765273455
79 26 -6.258883765273455
21 10 -2.301767479219346
10 21 2.301767479219346
93 90 4.840250414030492
90 93 -4.840250414030492
90 95 -0.6875543188396152
95 90 0.6875543188396152
78 30 -7.372614920146418
30 78 7.372614920146418
79 45 -5.732067925692601
45 79 5.732067925692601
84 75 8.721182290772976
75 84 -8.721182290772976
83 92 2.581887480035856
92 83 -2.581887480035856
90 70 -8.021884010480617
70 90 8.021884010480617
45 5 4.0910508404197135
5 45 -4.0910508404197135
10 3 -1.705284140931277
3 10 1.705284140931277
92 67 -1.481837850524212
67 92 1.481837850524212
85 78 1.5824402303875067
78 85 -1.5824402303875067
57 56 -1.8611520168160307
56 57 1.8611520168160307
45 23 4.584226953015759
23 45 -4.584226953015759
94 93 2.0418922707542437
93 94 -2.0418922707542437
59 69 -3.3984212720558413
69 59 3.3984212720558413
39 12 3.0061497771121157
12 39 -3.0061497771121157
35 64 7.549739809146593
64 35 -7.549739809146593
70 24 8.996114198008847
24 70 -8.996114198008847
79 6 -0.2869161058007239
6 79 0.2869161058007239
9 46 -2.9505140474978457
46 9 2.9505140474978457
63 19 3.5803346406355994
19 63 -3.5803346406355994
4 40 -5.01688400760392
40 4 5.01688400760392
30 64 8.036509895123999
64 30 -8.036509895123999
87 92 5.217510899251588
92 87 -5.217510899251588
48 36 4.5100147182197485
36 48 -4.5100147182197485
96 57 -6.179003346365131
57 96 6.179003346365131
60 28 5.574444667094241
28 60 -5.574444667094241
33 57 -7.108177761579279
57 33 7.108177761579279
71 6 5.025356338643344
6 71 -5.025356338643344
61 97 5.854158613906549
97 61 -5.854158613906549
85 23 2.2809368078559045
23 85 -2.2809368078559045
80 77 -1.1131326406556963
77 80 1.1131326406556963
89 69 -5.793178858453095
69 89 5.793178858453095
88 57 -0.7176499710493582
57 88 0.7176499710493582
1 29 6.2962034223787295
29 1 -6.2962034223787295
38 64 9.02777763539481
64 38 -9.02777763539481
13 88 -7.931777006909948
88 13 7.931777006909948
12 13 5.839046641297422
13 12 -5.839046641297422
28 67 0.7002904419019917
67 28 -0.7002904419019917
0 56 -7.744511350024035
56 0 7.744511350024035
92 2 -6.191164263253544
2 92 6.191164263253544
72 32 -4.7260745628568115
32 72 4.7260745628568115
84 99 0.8199723550976423
99 84 -0.8199723550976423
86 90 5.8482062355181785
90 86 -5.8482062355181785
2 27 3.7363436179750655
27 2 -3.7363436179750655
87 37 4.166351687103758
37 87 -4.166351687103758
36 89 -1.3934009773132583
89 36 1.3934009773132583
86 81 0.9322886528801146
81 86 -0.9322886528801146
67 12 -4.373914112201677
12 67 4.373914112201677
66 20 -2.9383102529029026
20 66 2.9383102529029026
67 75 1.4287279591607525
75 67 -1.4287279591607525
89 27 -2.8542575425379755
27 89 2.8542575425379755
33 1 -7.202528285023147
1 33 7.202528285023147
4 75 0.6261913875589908
75 4 -0.6261913875589908
24 22 -6.920569625047484
22 24 6.920569625047484
63 86 1.432576562604081
86 63 -1.432576562604081
60 33 8.815680385889731
33 60 -8.815680385889731
40 85 2.1797058943880776
85 40 -2.1797058943880776
79 39 -8.90709077283675
39 79 8.90709077283675
61 75 6.236296314194433
75 61 -6.236296314194433
32 44 2.5119187247579093
44 32 -2.5119187247579093
93 49 0.1632504108681665
49 93 -0.1632504108681665
7 62 9.589008574777829
62 7 -9.589008574777829
45 90 5.915516612282257
90 45 -5.915516612282257
6 21 -0.7286685476209
21 6 0.7286685476209
=======
0 68 -1.5964025962176511
68 0 1.5964025962176511
0 39 -6.689499788021522
39 0 6.689499788021522
0 31 -1.7958258923251682
31 0 1.7958258923251682
39 81 1.887926069009413
81 39 -1.887926069009413
0 60 -6.949278613205142
60 0 6.949278613205142
81 27 1.6612566925812018
27 81 -1.6612566925812018
81 99 -0.8507661441333967
99 81 0.8507661441333967
39 35 1.0899367693037083
35 39 -1.0899367693037083
35 80 2.0642066329758886
80 35 -2.0642066329758886
39 9 5.066969431647022
9 39 -5.066969431647022
35 88 -0.14338914153393634
88 35 0.14338914153393634
60 62 8.961918862270448
62 60 -8.961918862270448
99 1 -1.7522554510764472
1 99 1.7522554510764472
99 15 6.337756700610576
15 99 -6.337756700610576
35 49 2.880186636308629
49 35 -2.880186636308629
62 78 -1.4761833492497034
78 62 1.4761833492497034
9 11 -2.307649998305993
11 9 2.307649998305993
99 65 3.280746513275967
65 99 -3.280746513275967
35 5 6.813419659583822
5 35 -6.813419659583822
68 22 -2.393742608942312
22 68 2.393742608942312
11 61 1.7696393886817785
61 11 -1.7696393886817785
88 98 6.648781103830166
98 88 -6.648781103830166
78 92 0.4645708426338193
92 78 -0.4645708426338193
80 42 4.418550421149431
42 80 -4.418550421149431
99 90 7.575789100477886
90 99 -7.575789100477886
39 83 4.790863095101077
83 39 -4.790863095101077
60 20 6.341262937032679
20 60 -6.341262937032679
0 37 -1.2386115830698345
37 0 1.2386115830698345
98 50 -6.244496518771091
50 98 6.244496518771091
90 66 -0.276142216468952
66 90 0.276142216468952
50 52 8.179787732876752
52 50 -8.179787732876752
39 73 9.20144628573046
73 39 -9.20144628573046
83 58 4.998990269762295
58 83 -4.998990269762295
35 95 5.900901563812311
95 35 -5.900901563812311
0 43 -8.416910232889913
43 0 8.416910232889913
11 79 7.207700883437809
79 11 -7.207700883437809
42 36 1.5075121217388197
36 42 -1.5075121217388197
15 82 -3.3520641497148898
82 15 3.3520641497148898
80 75 6.035439419730886
75 80 -6.035439419730886
82 96 1.6861355542968006
96 82 -1.6861355542968006
37 40 -2.490695006556362
40 37 2.490695006556362
81 45 0.08336534262953088
45 81 -0.08336534262953088
20 4 2.9946457283896044
4 20 -2.9946457283896044
75 51 -3.6180697812147464
51 75 3.6180697812147464
82 97 4.176316128940716
97 82 -4.176316128940716
92 21 -0.7135036249390398
21 92 0.7135036249390398
43 57 0.244601275494428
57 43 -0.244601275494428
95 77 -7.226607574951293
77 95 7.226607574951293
61 56 -3.4933217906325176
56 61 3.4933217906325176
45 44 4.894772499583862
44 45 -4.894772499583862
11 8 1.4301531028996763
8 11 -1.4301531028996763
40 87 0.12325888575487065
87 40 -0.12325888575487065
87 16 0.7153131366295131
16 87 -0.7153131366295131
50 24 6.716246481106939
24 50 -6.716246481106939
60 30 -0.1200752666537499
30 60 0.1200752666537499
65 74 -6.227129173282416
74 65 6.227129173282416
87 2 -1.8661223731162913
2 87 1.8661223731162913
8 23 3.604098932084677
23 8 -3.604098932084677
11 14 2.2964544873571766
14 11 -2.2964544873571766
81 54 4.7127542031443515
54 81 -4.7127542031443515
37 18 0.997967408241226
18 37 -0.997967408241226
66 19 -1.9359907753103345
19 66 1.9359907753103345
18 12 -4.308486024148132
12 18 4.308486024148132
92 64 0.42010437424469926
64 92 -0.42010437424469926
51 10 -1.5062962732924983
10 51 1.5062962732924983
95 70 -6.54426482775161
70 95 6.54426482775161
98 47 1.2426825036394546
47 98 -1.2426825036394546
14 72 5.0059029631705005
72 14 -5.0059029631705005
30 69 2.653819532840245
69 30 -2.653819532840245
75 6 -1.640555948630347
6 75 1.640555948630347
62 86 -7.125954543012535
86 62 7.125954543012535
57 91 4.100549348629569
91 57 -4.100549348629569
70 85 4.993674567092541
85 70 -4.993674567092541
11 41 -1.3463296644646914
41 11 1.3463296644646914
96 34 -4.208724076482753
34 96 4.208724076482753
80 55 1.4441579095813069
55 80 -1.4441579095813069
34 46 -2.2631863330405997
46 34 2.2631863330405997
56 53 9.537268090042515
53 56 -9.537268090042515
97 84 -8.453002741558318
84 97 8.453002741558318
55 29 4.187137426479444
29 55 -4.187137426479444
23 71 -4.073095671462389
71 23 4.073095671462389
5 93 -4.164604933637486
93 5 4.164604933637486
8 33 4.7012087578045945
33 8 -4.7012087578045945
84 13 9.01836271221881
13 84 -9.01836271221881
50 59 3.8040080003002164
59 50 -3.8040080003002164
60 3 4.7749425966291374
3 60 -4.7749425966291374
10 94 -1.206411445115573
94 10 1.206411445115573
58 32 -5.098867592453368
32 58 5.098867592453368
16 17 -0.8220982711150164
17 16 0.8220982711150164
79 89 -0.09830523802273228
89 79 0.09830523802273228
54 67 0.2903023566328793
67 54 -0.2903023566328793
78 26 -5.462566182347814
26 78 5.462566182347814
62 25 -2.750789648464888
25 62 2.750789648464888
10 38 -4.322477815607147
38 10 4.322477815607147
23 48 -4.659219806546759
48 23 4.659219806546759
25 28 1.028499332762504
28 25 -1.028499332762504
27 63 -2.371007394393475
63 27 2.371007394393475
55 7 -3.69083712400385
7 55 3.69083712400385
37 76 -5.167877216777356
76 37 5.167877216777356
25 22 -3.7532282824100016
22 25 3.7532282824100016
51 9 -1.5230836043800835
9 51 1.5230836043800835
78 47 0.9350516461481642
47 78 -0.9350516461481642
72 29 -2.5924782772074018
29 72 2.5924782772074018
4 32 -3.701467631791172
32 4 3.701467631791172
26 50 0.010163526156827807
50 26 -0.010163526156827807
14 87 -1.4276048940553028
87 14 1.4276048940553028
2 43 -2.3923471899623943
43 2 2.3923471899623943
12 66 4.325438997460068
66 12 -4.325438997460068
61 3 1.1326462200243528
3 61 -1.1326462200243528
85 25 0.23931964099051162
25 85 -0.23931964099051162
39 60 -0.040642207921415485
60 39 0.040642207921415485
45 3 0.2718003934215467
3 45 -0.2718003934215467
88 12 1.0697328132073876
12 88 -1.0697328132073876
12 95 4.728336550204704
95 12 -4.728336550204704
65 0 2.912603043701881
0 65 -2.912603043701881
79 44 0.1594265857741497
44 79 -0.1594265857741497
59 96 1.33451242826833
96 59 -1.33451242826833
48 12 1.148570280667909
12 48 -1.148570280667909
46 19 5.533260264375851
19 46 -5.533260264375851
48 27 2.927666131473379
27 48 -2.927666131473379
5 60 -8.71508999705059
60 5 8.71508999705059
64 37 -2.134870466223399
37 64 2.134870466223399
65 30 -4.287238406278708
30 65 4.287238406278708
8 60 -4.9572597487640335
60 8 4.9572597487640335
41 78 7.520329855929356
78 41 -7.520329855929356
36 68 -3.083227632795511
68 36 3.083227632795511
3 95 2.9691246579283597
95 3 -2.9691246579283597
57 29 6.889926469458481
29 57 -6.889926469458481
73 37 -1.0395806771534941
37 73 1.0395806771534941
57 95 6.0608763353751645
95 57 -6.0608763353751645
94 55 -0.7108143757489924
55 94 0.7108143757489924
52 44 -0.9071878216865694
44 52 0.9071878216865694
